GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scrotifybanking,com.scrotifybanking.scrotifybanking.entity,Account,33,33,0,0,5,15,5,9,5,9
scrotifybanking,com.scrotifybanking.scrotifybanking.entity,Customer,49,47,0,0,8,21,7,13,7,13
scrotifybanking,com.scrotifybanking.scrotifybanking.entity,Transaction,24,42,0,0,2,18,2,12,2,12
scrotifybanking,com.scrotifybanking.scrotifybanking.config,SwaggerConfig,0,14,0,0,0,3,0,2,0,2
scrotifybanking,com.scrotifybanking.scrotifybanking.config,Config,0,7,0,0,0,2,0,2,0,2
scrotifybanking,com.scrotifybanking.scrotifybanking.dto.response,ApiResponse,9,17,0,0,1,7,1,5,1,5
scrotifybanking,com.scrotifybanking.scrotifybanking.dto.response,AccountNosDto,0,10,0,0,0,4,0,3,0,3
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,CustomerRequestDto,0,52,0,0,0,22,0,15,0,15
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,TransactionDto,15,31,0,0,1,13,1,9,1,9
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,LoginDto,9,17,0,0,1,7,1,5,1,5
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,CustomerResponseDto,6,18,0,0,2,8,2,5,2,5
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,AccountSummaryResponseDto,36,30,0,0,6,14,6,8,6,8
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,FundRequestDto,0,10,0,0,0,4,0,3,0,3
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,TransactionStatementResponseDto,39,27,0,0,7,13,7,7,7,7
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,TransactionStatementDto,12,24,0,0,1,10,1,7,1,7
scrotifybanking,com.scrotifybanking.scrotifybanking.dto,LoginResponseDto,24,22,0,0,4,10,4,6,4,6
scrotifybanking,com.scrotifybanking.scrotifybanking,ScrotifybankingApplication,5,3,0,0,2,1,1,1,1,1
scrotifybanking,com.scrotifybanking.scrotifybanking.web,CustomerController,5,136,1,5,1,26,1,9,0,7
scrotifybanking,com.scrotifybanking.scrotifybanking.service.impl,AccountServiceImpl,12,0,0,0,2,0,2,0,2,0
scrotifybanking,com.scrotifybanking.scrotifybanking.service.impl,TransactionServiceImpl,37,226,3,7,9,49,3,7,0,5
scrotifybanking,com.scrotifybanking.scrotifybanking.service.impl,CustomerServiceImpl,0,294,2,16,0,72,2,11,0,4
scrotifybanking,com.scrotifybanking.scrotifybanking.exception,CustomException,0,4,0,0,0,2,0,1,0,1
scrotifybanking,com.scrotifybanking.scrotifybanking.exception,MinimumBalanceNotFoundException,0,4,0,0,0,2,0,1,0,1
scrotifybanking,com.scrotifybanking.scrotifybanking.exception,MaintainBalanceException,0,4,0,0,0,2,0,1,0,1
scrotifybanking,com.scrotifybanking.scrotifybanking.exception,GlobalExceptionHandler,40,3,0,0,7,1,1,1,1,1
scrotifybanking,com.scrotifybanking.scrotifybanking.util,StatementDate,93,0,24,0,26,0,14,0,2,0
